peer_group_name,company_id,debt_to_equity,free_cash_flow_cr,net_profit_margin_pct,pat_cagr_5yr_pct,return_on_capital_pct,return_on_equity_pct,revenue_cagr_5yr_pct,n_top_quartile,n_bottom_quartile,best_in_class,watch_list
IT Services,INFY,0.4,0.8,0.8,0.8,0.8,0.8,0.8,6,0,True,False
IT Services,LTIM,0.0,0.2,0.4,1.0,0.4,0.4,1.0,2,2,False,False
IT Services,TCS,0.6,1.0,1.0,0.4,1.0,1.0,0.4,4,0,False,False
IT Services,TECHM,0.19999999999999996,0.4,0.2,0.2,0.2,0.2,0.2,0,6,False,True
Life Insurance,HDFCLIFE,0.25,0.25,0.75,0.5,0.75,0.5,0.75,3,2,False,False
Life Insurance,ICICIPRULI,0.0,0.75,0.25,0.25,1.0,0.25,0.5,2,4,False,True
Life Insurance,LICI,0.625,1.0,1.0,1.0,0.5,1.0,0.25,4,1,False,False
Life Insurance,SBILIFE,0.625,0.5,0.5,0.75,0.25,0.75,1.0,3,1,False,False
Oil & Gas,BPCL,0.19999999999999996,0.4,0.4,1.0,1.0,1.0,0.6,3,1,False,False
Oil & Gas,GAIL,0.8,0.2,0.6,0.2,0.4,0.4,1.0,2,2,False,False
Oil & Gas,IOC,0.0,0.6,0.2,0.8,0.8,0.8,0.4,3,2,False,False
Oil & Gas,ONGC,0.6,0.8,1.0,0.4,0.6,0.6,0.2,2,1,False,False
Oil & Gas,RELIANCE,0.4,1.0,0.8,0.6,0.2,0.2,0.8,3,2,False,False
Pharmaceuticals,CIPLA,0.6,0.6,0.4,0.4,1.0,0.6,0.4,1,0,False,False
Pharmaceuticals,DIVISLAB,0.8,0.4,1.0,0.2,0.2,0.2,0.6,2,3,False,True
Pharmaceuticals,DRREDDY,0.19999999999999996,0.2,0.8,0.6,0.6,0.8,1.0,3,2,False,False
Pharmaceuticals,SUNPHARMA,0.4,1.0,0.6,0.8,0.4,0.4,0.8,3,0,False,False
Pharmaceuticals,TORNTPHARM,0.0,0.8,0.2,1.0,0.8,1.0,0.2,4,3,False,True
Power & Utilities,ADANIGREEN,0.0,0.14285714285714285,0.42857142857142855,,0.42857142857142855,0.42857142857142855,1.0,1,2,False,False
Power & Utilities,ADANIPOWER,0.8571428571428572,0.8571428571428571,0.8571428571428571,,1.0,1.0,0.8571428571428571,6,0,True,False
Power & Utilities,JSWENERGY,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,1,1,False,False
Power & Utilities,NHPC,0.7142857142857143,0.42857142857142855,1.0,0.2,0.14285714285714285,0.2857142857142857,0.14285714285714285,1,3,False,True
Power & Utilities,NTPC,0.4285714285714286,0.7142857142857143,0.2857142857142857,0.4,0.7142857142857143,0.7142857142857143,0.5714285714285714,0,0,False,False
Power & Utilities,POWERGRID,0.5714285714285714,1.0,0.7142857142857143,0.6,0.8571428571428571,0.8571428571428571,0.42857142857142855,3,0,False,False
Power & Utilities,TATAPOWER,0.1428571428571429,0.5714285714285714,0.14285714285714285,0.8,0.5714285714285714,0.5714285714285714,0.7142857142857143,1,2,False,False
Private Banks,AXISBANK,0.0,0.4,0.4,0.8,0.2,0.8,0.4,2,2,False,False
Private Banks,HDFCBANK,0.4,1.0,0.6,0.6,0.6,0.6,1.0,2,0,False,False
Private Banks,ICICIBANK,0.6,0.8,0.8,1.0,0.8,1.0,0.8,6,0,True,False
Private Banks,INDUSINDBK,0.19999999999999996,0.2,0.2,0.4,0.4,0.4,0.6,0,3,False,True
Private Banks,KOTAKBANK,0.8,0.6,1.0,0.2,1.0,0.2,0.2,3,3,False,True
Public Sector Banks,BANKBARODA,0.33333333333333337,0.6666666666666666,1.0,0.5,0.5,0.3333333333333333,0.6666666666666666,1,0,False,False
Public Sector Banks,CANBK,0.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,4,1,False,False
Public Sector Banks,PNB,0.6666666666666667,0.3333333333333333,0.3333333333333333,,,1.0,0.3333333333333333,1,0,False,False
Steel,HINDALCO,0.5,1.0,0.5,1.0,1.0,0.5,0.75,4,0,False,False
Steel,JINDALSTEL,0.75,0.5,1.0,,0.75,1.0,0.25,4,1,False,False
Steel,JSWSTEEL,0.0,0.25,0.75,0.5,0.5,0.75,1.0,3,2,False,False
Steel,TATASTEEL,0.25,0.75,0.25,,0.25,0.25,0.5,1,4,False,True
