company_id,year,cfo_sign,cfi_sign,cff_sign,capital_allocation_pattern,capital_allocation_label
ADANIPOWER,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPOWER,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPOWER,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPOWER,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPOWER,2022-03,+,+,-,++-,Divesting & Returning Capital
ADANIPOWER,2023-03,+,+,-,++-,Divesting & Returning Capital
ADANIPOWER,2024-03,+,+,-,++-,Divesting & Returning Capital
AMBUJACEM,2012-12,+,-,-,+--,Reinvestor / Shareholder Returns
AMBUJACEM,2013-12,+,-,-,+--,Reinvestor / Shareholder Returns
AMBUJACEM,2014-12,+,-,-,+--,Reinvestor / Shareholder Returns
AMBUJACEM,2015-12,+,-,-,+--,Reinvestor / Shareholder Returns
AMBUJACEM,2016-12,+,-,-,+--,Reinvestor / Shareholder Returns
AMBUJACEM,2017-12,+,-,-,+--,Reinvestor / Shareholder Returns
AMBUJACEM,2018-12,+,-,-,+--,Reinvestor / Shareholder Returns
AMBUJACEM,2019-12,+,-,-,+--,Reinvestor / Shareholder Returns
AMBUJACEM,2020-12,+,-,-,+--,Reinvestor / Shareholder Returns
AMBUJACEM,2021-12,+,-,-,+--,Reinvestor / Shareholder Returns
AMBUJACEM,2024-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
APOLLOHOSP,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
APOLLOHOSP,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
APOLLOHOSP,2015-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
APOLLOHOSP,2016-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
APOLLOHOSP,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
APOLLOHOSP,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
APOLLOHOSP,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
APOLLOHOSP,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
APOLLOHOSP,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
APOLLOHOSP,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
APOLLOHOSP,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
APOLLOHOSP,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
ASIANPAINT,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
ASIANPAINT,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
ASIANPAINT,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
ASIANPAINT,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
ASIANPAINT,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
ASIANPAINT,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
ASIANPAINT,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
ASIANPAINT,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
ASIANPAINT,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
ASIANPAINT,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
ASIANPAINT,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
ASIANPAINT,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJ-AUTO,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJ-AUTO,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJ-AUTO,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJ-AUTO,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJ-AUTO,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJ-AUTO,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJ-AUTO,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJ-AUTO,2020-03,+,+,-,++-,Divesting & Returning Capital
BAJAJ-AUTO,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJ-AUTO,2022-03,+,+,-,++-,Divesting & Returning Capital
BAJAJ-AUTO,2023-03,+,+,-,++-,Divesting & Returning Capital
BAJAJ-AUTO,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
AXISBANK,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
AXISBANK,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
AXISBANK,2015-03,-,-,+,--+,Heavy Investment Phase (external funded)
AXISBANK,2016-03,-,+,+,-++,Distress — External Funding to Survive
AXISBANK,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
AXISBANK,2018-03,-,-,+,--+,Heavy Investment Phase (external funded)
AXISBANK,2019-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
AXISBANK,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
AXISBANK,2021-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
AXISBANK,2022-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
AXISBANK,2023-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
AXISBANK,2024-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJAJFINSV,2013-03,-,+,+,-++,Distress — External Funding to Survive
BAJAJFINSV,2014-03,-,+,+,-++,Distress — External Funding to Survive
BAJAJFINSV,2015-03,-,+,+,-++,Distress — External Funding to Survive
BAJAJFINSV,2016-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJAJFINSV,2017-03,-,+,+,-++,Distress — External Funding to Survive
BAJAJFINSV,2018-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJAJFINSV,2019-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJAJFINSV,2020-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJAJFINSV,2021-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BAJAJFINSV,2022-03,-,+,+,-++,Distress — External Funding to Survive
BAJAJFINSV,2023-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJAJFINSV,2024-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJAJHLDNG,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJHLDNG,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJHLDNG,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJHLDNG,2016-03,+,+,-,++-,Divesting & Returning Capital
BAJAJHLDNG,2017-03,-,-,-,---,Cash Burn — Self-funded Investment
BAJAJHLDNG,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJHLDNG,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJHLDNG,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJHLDNG,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJHLDNG,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJHLDNG,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJAJHLDNG,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
BAJFINANCE,2015-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJFINANCE,2016-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJFINANCE,2017-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJFINANCE,2018-03,-,+,+,-++,Distress — External Funding to Survive
BAJFINANCE,2019-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJFINANCE,2020-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJFINANCE,2021-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJFINANCE,2022-03,-,+,+,-++,Distress — External Funding to Survive
BAJFINANCE,2023-03,-,-,+,--+,Heavy Investment Phase (external funded)
BAJFINANCE,2024-03,-,-,+,--+,Heavy Investment Phase (external funded)
BANKBARODA,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
BANKBARODA,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BANKBARODA,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
BANKBARODA,2016-03,-,-,-,---,Cash Burn — Self-funded Investment
BANKBARODA,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
BANKBARODA,2018-03,-,-,+,--+,Heavy Investment Phase (external funded)
BANKBARODA,2019-03,-,-,+,--+,Heavy Investment Phase (external funded)
BANKBARODA,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BANKBARODA,2021-03,-,-,-,---,Cash Burn — Self-funded Investment
BANKBARODA,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
BANKBARODA,2023-03,-,-,-,---,Cash Burn — Self-funded Investment
BANKBARODA,2024-03,-,-,+,--+,Heavy Investment Phase (external funded)
BHARTIARTL,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
BHARTIARTL,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BHARTIARTL,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
BHARTIARTL,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
BHARTIARTL,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
BHARTIARTL,2018-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BHARTIARTL,2019-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BHARTIARTL,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BHARTIARTL,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
BHARTIARTL,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
BHARTIARTL,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
BHARTIARTL,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
BEL,2013-03,-,+,-,-+-,Distress — Asset Sale + Debt Repay
BEL,2014-03,-,+,-,-+-,Distress — Asset Sale + Debt Repay
BEL,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
BEL,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
BEL,2017-03,-,+,-,-+-,Distress — Asset Sale + Debt Repay
BEL,2018-03,-,-,-,---,Cash Burn — Self-funded Investment
BEL,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
BEL,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
BEL,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
BEL,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
BEL,2023-03,+,+,-,++-,Divesting & Returning Capital
BEL,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
BHEL,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BHEL,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BHEL,2015-03,+,+,-,++-,Divesting & Returning Capital
BHEL,2016-03,+,+,-,++-,Divesting & Returning Capital
BHEL,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
BHEL,2018-03,+,+,-,++-,Divesting & Returning Capital
BHEL,2019-03,-,+,-,-+-,Distress — Asset Sale + Debt Repay
BHEL,2020-03,-,+,+,-++,Distress — External Funding to Survive
BHEL,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
BHEL,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
BHEL,2023-03,-,+,+,-++,Distress — External Funding to Survive
BHEL,2024-03,-,+,+,-++,Distress — External Funding to Survive
BOSCHLTD,2012-12,+,-,-,+--,Reinvestor / Shareholder Returns
BOSCHLTD,2013-12,+,-,-,+--,Reinvestor / Shareholder Returns
BOSCHLTD,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
BOSCHLTD,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
BOSCHLTD,2017-03,+,+,-,++-,Divesting & Returning Capital
BOSCHLTD,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
BOSCHLTD,2019-03,+,+,-,++-,Divesting & Returning Capital
BOSCHLTD,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
BOSCHLTD,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
BOSCHLTD,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
BOSCHLTD,2023-03,+,+,-,++-,Divesting & Returning Capital
BOSCHLTD,2024-03,+,+,-,++-,Divesting & Returning Capital
BPCL,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
BPCL,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
BPCL,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
BPCL,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
BPCL,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BPCL,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
BPCL,2019-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BPCL,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BPCL,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
BPCL,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
BPCL,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
BPCL,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
BRITANNIA,2013-03,+,+,-,++-,Divesting & Returning Capital
BRITANNIA,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
BRITANNIA,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
BRITANNIA,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
BRITANNIA,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
BRITANNIA,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
BRITANNIA,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
BRITANNIA,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
BRITANNIA,2021-03,+,+,-,++-,Divesting & Returning Capital
BRITANNIA,2022-03,+,+,-,++-,Divesting & Returning Capital
BRITANNIA,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
BRITANNIA,2024-03,+,+,-,++-,Divesting & Returning Capital
CANBK,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
CANBK,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
CANBK,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
CANBK,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
CANBK,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
CANBK,2018-03,-,-,+,--+,Heavy Investment Phase (external funded)
CANBK,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
CANBK,2020-03,-,-,+,--+,Heavy Investment Phase (external funded)
CANBK,2021-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
CANBK,2022-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
CANBK,2023-03,-,-,+,--+,Heavy Investment Phase (external funded)
CANBK,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
CHOLAFIN,2013-03,-,+,+,-++,Distress — External Funding to Survive
CHOLAFIN,2014-03,-,-,+,--+,Heavy Investment Phase (external funded)
CHOLAFIN,2015-03,-,-,+,--+,Heavy Investment Phase (external funded)
CHOLAFIN,2016-03,-,-,+,--+,Heavy Investment Phase (external funded)
CHOLAFIN,2017-03,-,-,+,--+,Heavy Investment Phase (external funded)
CHOLAFIN,2018-03,-,-,+,--+,Heavy Investment Phase (external funded)
CHOLAFIN,2019-03,-,-,+,--+,Heavy Investment Phase (external funded)
CHOLAFIN,2020-03,-,-,+,--+,Heavy Investment Phase (external funded)
CHOLAFIN,2021-03,-,-,+,--+,Heavy Investment Phase (external funded)
CHOLAFIN,2022-03,-,+,+,-++,Distress — External Funding to Survive
CHOLAFIN,2023-03,-,-,+,--+,Heavy Investment Phase (external funded)
CHOLAFIN,2024-03,-,-,+,--+,Heavy Investment Phase (external funded)
CIPLA,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
CIPLA,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
CIPLA,2015-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
CIPLA,2016-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
CIPLA,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
CIPLA,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
CIPLA,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
CIPLA,2020-03,+,+,-,++-,Divesting & Returning Capital
CIPLA,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
CIPLA,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
CIPLA,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
CIPLA,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
COALINDIA,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
COALINDIA,2014-03,+,+,-,++-,Divesting & Returning Capital
COALINDIA,2015-03,+,+,-,++-,Divesting & Returning Capital
COALINDIA,2016-03,+,+,-,++-,Divesting & Returning Capital
COALINDIA,2017-03,+,+,-,++-,Divesting & Returning Capital
COALINDIA,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
COALINDIA,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
COALINDIA,2020-03,+,+,-,++-,Divesting & Returning Capital
COALINDIA,2021-03,+,+,-,++-,Divesting & Returning Capital
COALINDIA,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
COALINDIA,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
COALINDIA,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
DABUR,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
DABUR,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
DABUR,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
DABUR,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
DABUR,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
DABUR,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
DABUR,2019-03,+,+,-,++-,Divesting & Returning Capital
DABUR,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
DABUR,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
DABUR,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
DABUR,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
DABUR,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
DIVISLAB,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
DIVISLAB,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
DIVISLAB,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
DIVISLAB,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
DIVISLAB,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
DIVISLAB,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
DIVISLAB,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
DIVISLAB,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
DIVISLAB,2021-03,+,+,-,++-,Divesting & Returning Capital
DIVISLAB,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
DIVISLAB,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
DIVISLAB,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
DLF,2013-03,+,+,-,++-,Divesting & Returning Capital
DLF,2014-03,+,+,-,++-,Divesting & Returning Capital
DLF,2015-03,+,+,-,++-,Divesting & Returning Capital
DLF,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
DLF,2017-03,-,+,+,-++,Distress — External Funding to Survive
DLF,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
DLF,2019-03,+,+,+,+++,Other / Mixed Pattern
DLF,2020-03,+,+,-,++-,Divesting & Returning Capital
DLF,2021-03,+,+,-,++-,Divesting & Returning Capital
DLF,2022-03,+,+,-,++-,Divesting & Returning Capital
DLF,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
DLF,2024-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
DMART,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
DMART,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
DMART,2015-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
DMART,2016-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
DMART,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
DMART,2018-03,+,+,-,++-,Divesting & Returning Capital
DMART,2019-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
DMART,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
DMART,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
DMART,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
DMART,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
DMART,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
DRREDDY,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
DRREDDY,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
DRREDDY,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
DRREDDY,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
DRREDDY,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
DRREDDY,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
DRREDDY,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
DRREDDY,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
DRREDDY,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
DRREDDY,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
DRREDDY,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
DRREDDY,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
EICHERMOT,2012-12,+,-,-,+--,Reinvestor / Shareholder Returns
EICHERMOT,2013-12,+,-,-,+--,Reinvestor / Shareholder Returns
EICHERMOT,2014-12,+,-,-,+--,Reinvestor / Shareholder Returns
EICHERMOT,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
EICHERMOT,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
EICHERMOT,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
EICHERMOT,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
EICHERMOT,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
EICHERMOT,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
EICHERMOT,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
EICHERMOT,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
EICHERMOT,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
GAIL,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
GAIL,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
GAIL,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
GAIL,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
GAIL,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
GAIL,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
GAIL,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
GAIL,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
